comment,suggestion,Sentiment
the instructor was informative.,NO,positive
good.,NO,positive
he introduced to new technologies is really good but providing some overview methods of that technologies would encourage students for future study and practices.,IS,neutral
The contents should be used more in a practical manner.,IS,neutral
characteristics of instructor were good.,NO,positive
Please more attractive for the class not only sit and explaining based on your slide.,IS,neutral
nice teaching.,NO,positive
Sir has helped us a lot by demonstrating with more real time examples so that we can learn things easily.,NO,positive
Great opportunity to learn from him.,NO,positive
clear in understanding.,NO,positive
Good.,NO,positive
He is an amazing Teacher who teach with full dedication and devotion.,NO,positive
Teaching style of the Professor is wonderful and very professional.,NO,positive
He very honest with his job.,NO,positive
He reads the face of students and get an idea either the students understand the lecture or not.,NO,positive
Excellent.,NO,positive
experience of learning this course from you sir.,NO,positive
Stay blessed sir.,NO,positive
Excellent course for computer vision students as this course discuss many geometry algorithms which we may need during our research.,CS,neutral
This course should offer in regular semester.,CS,neutral
Everything was fine.,NO,neutral
Tutorial should be updated so bugs will be decreased.,CS,neutral
Course is useful to me.,NO,neutral
We didnt have assignments after mid-term exam.,CS,neutral
I think the assignments help us alot for the exam.,NO,positive
As it is very deep subject and very hard to memories all the lecture in class at once better have video lectures also so that we can look them when we are studying and get some more information.thank-you.,CS,neutral
This course requires some basic knowledge of Python coding not just math.,CS,neutral
So should have per-requitite or pre-requirement for this course.,CS,neutral
Though course teaching method is very good it would also really help if there will be a separate basic refresher / tutorial of linear algebra / maths relevant to the course and it corresponding python code.,CS,neutral
There good aspects to the lecturer teaching and experience but I think More preparation is required for conducting lectures. ,CS,neutral
Available resources.,CS,neutral
We should think differently to answer and its very useful.,CS,neutral
may be the information in the lectures can be elaborated.,IS,neutral
the instructor teaching methods are good.,NO,positive
Teaching slides are not good at all.,IS,neutral
Most of them contain only bullets showing the topic but no description and details in order to understand the topic itself and in class teaching many bullets/topics have been skipped or no explanation at all.,CS,neutral
This gives students a very hard time to\nunderstand the contents and to prepare for the exam.,NO,neutral
good teaching methods.,NO,positive
teaching method similar to other professor and was fine but during lectures I was looking that professor to go a step further and give me more clear picture of the lecture by a demo or something.,IS,neutral
In the starting sessions I faced problems with the accent of the professor later after used to the accent I was comfortable.,IS,neutral
The resources provided were very useful to us.,NO,positive
I am realy satisfied from the course from /teaching methods/resource materials and other sttafs.,NO,neutral
The exam questions are too easy and not challenging at all.,CS,neutral
Instructor is excellent his way of teaching is great and he also encourage students always.,NO,positive
The resources you provided are very helpful sir.,NO,positive
Teaching method is excellent.,NO,positive
The ground theory to the implementation of algorithms is explained really well.,NO,positive
good teaching.,NO,positive
course were deliverd in very good way.,NO,positive
He had nice teaching methods.,NO,positive
Need to improve more.,NO,neutral
excellent.,NO,positive
He had all the resources in hand both theoretical as well as the contents for practical work.,CS,neutral
well.,NO,neutral
the teaching methods are quite practical.,NO,positive
I think he have done to the extent for improving the course.,CS,neutral
to involve more information.,CS,neutral
Please to showing something more pratical.,CS,neutral
Excellent in delivery.,NO,positive
GOOD.,NO,positive
methods are nice and good.,NO,positive
All the materials and coursework provided in this subject is very relevant to my learning experience.,NO,neutral
Maybe a laboratory would help too.,CS,neutral
I understand the course more when I do my project.,CS,neutral
I do preferred to have more assignment to help me focusing on the key point of each chapter.,CS,neutral
lecture materials and teaching methods were good.,NO,positive
no comments/complaints here.,NO,neutral
The weekly assignments is too much for the student who take 4 subjects in this semester.,IS,neutral
her real life examples are so specific encourages everyone to participate her teaching methods are effective.,IS,neutral
